Kota,Usia (tahun),Jenis Kelamin,Tinggi Badan (dalam cm),Berat Badan (dalam kg),Kecepatan Bersepeda,Jenis Permukaan Jalan (yang paling sering dilalui),Jenis Sepeda (yang paling sering digunakan),Tujuan Bersepeda (secara singkat)
Surabaya,21,Pria,169,74,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,58,Pria,177,95,Sedang (16 - 25 km/jam),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,27,Wanita,157,66,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,27,Pria,164,87,Sedang (16 - 25 km/jam),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,32,Wanita,159,56,Santai (15 km/jam atau kurang),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,55,Wanita,158,55,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,24,Pria,151,64,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,11,Pria,161,57,Sedang (16 - 25 km/jam),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,60,Wanita,167,48,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,36,Wanita,160,62,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,44,Pria,174,99,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,37,Wanita,161,66,Sedang (16 - 25 km/jam),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,47,Pria,168,54,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,57,Pria,162,80,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,72,Wanita,170,58,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,68,Pria,163,77,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,32,Pria,153,69,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,36,Pria,164,62,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,24,Pria,178,90,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,24,Wanita,151,56,Sedang (16 - 25 km/jam),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,38,Pria,159,83,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,22,Pria,163,56,Santai (15 km/jam atau kurang),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,27,Pria,172,82,Sedang (16 - 25 km/jam),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,34,Pria,168,79,Sedang (16 - 25 km/jam),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,57,Pria,169,79,Sedang (16 - 25 km/jam),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,19,Pria,166,86,Sedang (16 - 25 km/jam),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,46,Pria,169,61,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,43,Wanita,164,61,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,24,Wanita,151,52,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,58,Pria,163,82,Sedang (16 - 25 km/jam),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,60,Pria,175,72,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,58,Pria,163,53,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,39,Wanita,170,42,Santai (15 km/jam atau kurang),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,25,Wanita,168,58,Santai (15 km/jam atau kurang),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,40,Pria,168,80,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,10,Pria,169,59,Sedang (16 - 25 km/jam),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,56,Pria,166,82,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,57,Wanita,150,50,Santai (15 km/jam atau kurang),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,42,Pria,149,87,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,58,Pria,181,93,Sedang (16 - 25 km/jam),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,51,Pria,180,73,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,30,Pria,170,67,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,29,Pria,166,62,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,42,Pria,171,73,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,46,Wanita,169,66,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,52,Wanita,152,60,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,37,Pria,175,81,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,33,Pria,170,87,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,46,Pria,180,66,Sedang (16 - 25 km/jam),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,41,Pria,163,63,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,16,Pria,162,64,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,15,Pria,185,59,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,31,Pria,161,67,Cepat (26 km/jam atau lebih),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,43,Pria,156,67,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,36,Wanita,152,77,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,49,Pria,161,67,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,17,Pria,171,67,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,42,Pria,190,95,Sedang (16 - 25 km/jam),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,57,Wanita,167,74,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,21,Pria,173,86,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,57,Pria,166,88,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,48,Pria,175,71,Sedang (16 - 25 km/jam),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,50,Wanita,156,55,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,49,Pria,164,64,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,59,Pria,170,73,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,60,Pria,161,79,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,29,Wanita,161,64,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,28,Wanita,164,51,Santai (15 km/jam atau kurang),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,37,Pria,165,75,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,52,Pria,165,59,Santai (15 km/jam atau kurang),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,49,Wanita,160,60,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,32,Pria,176,89,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,33,Pria,171,88,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,22,Pria,169,68,Sedang (16 - 25 km/jam),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,53,Wanita,155,58,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,60,Pria,163,86,Sedang (16 - 25 km/jam),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,58,Pria,171,74,Sedang (16 - 25 km/jam),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,23,Wanita,159,43,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,23,Pria,178,54,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,54,Pria,177,67,Sedang (16 - 25 km/jam),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,19,Pria,174,70,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,29,Pria,172,93,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,43,Wanita,158,52,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,48,Pria,183,89,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,15,Wanita,148,38,Sedang (16 - 25 km/jam),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,29,Pria,163,85,Sedang (16 - 25 km/jam),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,65,Pria,171,67,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,38,Pria,171,84,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,52,Pria,157,63,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,23,Pria,169,75,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,32,Pria,161,86,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,10,Pria,168,54,Sedang (16 - 25 km/jam),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,49,Pria,178,84,Sedang (16 - 25 km/jam),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,51,Wanita,159,60,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,22,Pria,174,91,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,39,Pria,179,93,Santai (15 km/jam atau kurang),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,48,Wanita,165,65,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,45,Wanita,151,44,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,22,Pria,173,99,Sedang (16 - 25 km/jam),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,48,Pria,166,74,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,50,Pria,166,80,Sedang (16 - 25 km/jam),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,22,Wanita,168,66,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,31,Wanita,168,58,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,29,Pria,162,61,Sedang (16 - 25 km/jam),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,14,Pria,177,65,Sedang (16 - 25 km/jam),Jalanan Tidak Rata,Sepeda Gunung (Mountain Bike/MTB),
Surabaya,13,Pria,170,57,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Gunung (Mountain Bike/MTB),
Pekalongan,44,Pria,171,80,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Lipat (Folding Bike),Olahraga kesehatan
Pekalongan,35,Pria,165,70,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),Olahraga ringan
Pekalongan ,38,Wanita,160,65,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Lipat (Folding Bike),Untuk berolah raga 
Pekalongan,39,Pria,171,75,Sedang (16 - 25 km/jam),Jalanan Tidak Rata,Sepeda Lipat (Folding Bike),"Kesehatan, dan refreshing"
pekalongan,29,Pria,166,64,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),olaraga
pekalongan,42 tahun,Pria,166,78,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),olahraga dan hiburan.
Surabaya,32,Pria,172,57,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),Olahraga pagi
Surabaya,42,Pria,171,82,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),Kekeluargaan
Jkt,48,Wanita,160,58,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),Rekreasi
Surabaya,34,Pria,181,99,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),Weight loss & socialize with friends
Ciamis,32,Wanita,155,56,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Lipat (Folding Bike),Refreshing
balikpapan,43,Pria,165,74,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Lipat (Folding Bike),happy fun
Sidoarjo,47,Wanita,155,43,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),ke tempat yg dekat
Bandung,53 tahun,Wanita,165,74,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),Untuk olahraga dan jalan jalan
Sidoarjo,39,Wanita,153,52,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),Olah raga
Surabaya,33,Wanita,164,64,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Lipat (Folding Bike),"Refreshing, berjemur sekaligus olahraga cari keringat"
Jakarta,31,Pria,160,58,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),Commuter
Bandung,60,Pria,165,62,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Lipat (Folding Bike),Refreshing dan Olah Raga 
Purwokerto,47,Pria,170,75,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Lipat (Folding Bike),Olah raga sekalian happy
Purwokerto,46,Pria,178,90,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),Hiburan dan kesehatan
Pekalongan,45,Pria,175,80,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),biar sehat
Surabaya,56,Wanita,155,44,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,54,Wanita,159,58,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,49,Wanita,160,49,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,49,Wanita,165,46,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,43,Pria,161,48,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,44,Wanita,160,47,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,45,Wanita,163,48,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,37,Pria,161,50,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,51,Wanita,164,58,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,27,Wanita,169,48,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,16,Pria,171,63,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,13,Pria,177,70,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,45,Pria,158,47,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,25,Pria,153,44,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,39,Pria,172,62,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,43,Pria,167,64,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,10,Pria,163,46,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,59,Wanita,151,55,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,11,Pria,157,50,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,33,Pria,162,43,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,58,Wanita,159,51,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,45,Wanita,168,65,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,48,Pria,169,70,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,58,Wanita,153,55,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,50,Wanita,156,54,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,55,Wanita,157,59,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,24,Wanita,152,47,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,31,Pria,163,49,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,24,Wanita,152,47,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,57,Pria,160,44,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,50,Pria,165,63,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,57,Wanita,167,63,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,45,Wanita,151,57,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,21,Wanita,156,48,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,47,Wanita,154,53,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,54,Wanita,156,51,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,30,Pria,159,46,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,29,Wanita,168,62,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,29,Pria,155,47,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,22,Pria,167,62,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,47,Wanita,163,70,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,37,Pria,176,70,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,28,Pria,167,46,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,55,Wanita,154,57,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,49,Pria,161,82,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,53,Pria,168,46,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,49,Pria,154,43,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,51,Pria,159,41,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,41,Pria,156,47,Santai (15 km/jam atau kurang),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,34,Wanita,167,51,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,39,Wanita,167,52,Cepat (26 km/jam atau lebih),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,45,Wanita,169,66,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Lipat (Folding Bike),
Surabaya,46,Wanita,151,57,Sedang (16 - 25 km/jam),Jalanan Rata,Sepeda Lipat (Folding Bike),